"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TypeScript JSX", "XML", "Markdown", "Prisma", "HTML", "Ignore", "CSS", "comment", "blank", "total"
"/Users/natan/Desktop/medipype/app/sigInPage/components/signWithGoogleButton/SignWithGoogleButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/natan/Desktop/medipype/app/sigInPage/hooks/useCallbackUrl.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 7, 35
"/Users/natan/Desktop/medipype/app/sigInPage/hooks/useCallbackUrl.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/natan/Desktop/medipype/app/sigInPage/hooks/useEmailSubmit.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 12, 55
"/Users/natan/Desktop/medipype/app/sigInPage/hooks/useEmailSubmit.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/natan/Desktop/medipype/commitlint.config.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 10, 2, 52
"/Users/natan/Desktop/medipype/components.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/Users/natan/Desktop/medipype/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/natan/Desktop/medipype/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"/Users/natan/Desktop/medipype/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/natan/Desktop/medipype/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 19, 156
"/Users/natan/Desktop/medipype/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 14, 123
"/Users/natan/Desktop/medipype/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 19, 201
"/Users/natan/Desktop/medipype/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/natan/Desktop/medipype/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 11, 118
"/Users/natan/Desktop/medipype/cypress.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/natan/Desktop/medipype/cypress/e2e/home_page.cy.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/Users/natan/Desktop/medipype/cypress/fixtures/auth-session.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/natan/Desktop/medipype/cypress/support/commands.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 4, 51
"/Users/natan/Desktop/medipype/cypress/support/component-index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 0, 14
"/Users/natan/Desktop/medipype/cypress/support/component.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 39
"/Users/natan/Desktop/medipype/cypress/support/e2e.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 21
"/Users/natan/Desktop/medipype/jest.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"/Users/natan/Desktop/medipype/jest.setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/natan/Desktop/medipype/lib/db.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 17
"/Users/natan/Desktop/medipype/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/natan/Desktop/medipype/middleware.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/natan/Desktop/medipype/next.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"/Users/natan/Desktop/medipype/package-lock.json", "JSON", 0, 0, 13267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13268
"/Users/natan/Desktop/medipype/package.json", "JSON", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"/Users/natan/Desktop/medipype/postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/natan/Desktop/medipype/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 9, 57
"/Users/natan/Desktop/medipype/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/natan/Desktop/medipype/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/natan/Desktop/medipype/tailwind.config.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"/Users/natan/Desktop/medipype/tsconfig.json", "JSON with Comments", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/natan/Desktop/medipype/tsconfig.spec.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 363, 59, 13383, 57, 2227, 2, 23, 48, 13, 4, 74, 120, 514, 16887
